global_iteration,chunk,local_iteration,accepted,objective,candidate_objective,merit,candidate_merit,delta_merit,defect,candidate_defect,virtual,candidate_virtual,final_time_s,candidate_final_time_s,dt,candidate_dt,rho_state_max,rho_u,rho_Tf
0,1,0,False,1120816.7774230305,932265.1209018911,1120816.7774230305,8115937.421756048,6995120.644333017,0.0,709.6204048469663,0.0,8.746825238449425,15824.87770171295,12781.631993058103,197.8109712714119,159.7703999132263,1000.0,0.5,1521.6228559339372
1,1,1,False,1120816.7774230305,1028736.3532471356,1120816.7774230305,5331115.784448995,4210299.007025965,0.0,415.6957320533693,0.0,14.542211066816694,15824.87770171295,14303.254846140737,197.8109712714119,178.79068557675922,500.0,0.25,760.8114279669686
2,1,2,False,1120816.7774230305,1075816.0872063257,1120816.7774230305,3480889.162807431,2360072.3853844004,0.0,223.06740413885564,0.0,17.439903421254932,15824.87770171295,15064.06628496681,197.8109712714119,188.30082856208512,250.0,0.125,380.4057139834843
3,1,3,False,1120816.7774230305,1098712.034613053,1120816.7774230305,2536626.080552679,1415809.3031296486,0.0,115.33582130167633,0.0,28.455583292286235,15824.87770171295,15444.472003095758,197.8109712714119,193.05590003869696,125.0,0.0625,190.20285699174215
4,1,4,False,1120816.7774230305,1109793.9491337624,1120816.7774230305,2112005.0824205624,991188.3049975319,0.0,58.60421370062977,0.0,41.616899628050206,15824.87770171295,15634.67489519479,197.8109712714119,195.43343618993487,62.5,0.03125,95.10142849587108
5,1,5,False,1120816.7774230305,1115312.7353863106,1120816.7774230305,2079650.5812547964,958833.8038317659,0.0,48.23614716888915,0.0,48.19763741795943,15824.87770171295,15729.776313741904,197.8109712714119,196.6222039217738,31.25,0.015625,47.55071424793554
6,1,6,False,1120816.7774230305,1118066.5903843935,1120816.7774230305,2147921.1232623328,1027104.3458393023,0.0,51.49745792001795,0.0,51.48799536777598,15824.87770171295,15777.3270276265,197.8109712714119,197.21658784533125,15.625,0.0078125,23.77535712396777
7,1,7,False,1120816.7774230305,1119442.1260597098,1120816.7774230305,2182128.877033324,1061312.0996102935,0.0,53.135528269608585,0.0,53.13314682775284,15824.87770171295,15801.102380691367,197.8109712714119,197.5137797586421,7.8125,0.00390625,11.887678561983885
8,1,8,False,1120816.7774230305,1120129.5502847673,1120816.7774230305,2199250.7661724766,1078433.988749446,0.0,53.956377699762015,0.0,53.95574388900893,15824.87770171295,15812.990052725532,197.8109712714119,197.66237565906914,3.90625,0.001953125,5.943839280991942
9,1,9,False,1120816.7774230305,1120473.1810819223,1120816.7774230305,2207815.7177332253,1086998.9403101949,0.0,54.367226703596316,0.0,54.367026961533995,15824.87770171295,15818.933886560071,197.8109712714119,197.7366735820009,1.953125,0.0009765625,2.971919640495971
10,1,10,False,1120816.7774230305,1120645.7562525691,1120816.7774230305,2212098.981658277,1091282.2042352466,0.0,54.572707061193796,0.0,54.57261547937701,15824.87770171295,15821.905820718921,197.8109712714119,197.7738227589865,0.9765625,0.00048828125,1.4859598202479856
11,1,11,False,1120816.7774230305,1120732.6005686242,1120816.7774230305,2214242.9703093963,1093426.1928863658,0.0,54.67555077395264,0.0,54.67548620012458,15824.87770171295,15823.391762141151,197.8109712714119,197.79239702676438,0.48828125,0.000244140625,0.7429799101239928
12,1,12,False,1120816.7774230305,1120776.0262382892,1120816.7774230305,2215313.209992446,1094496.4325694155,0.0,54.726888102632984,0.0,54.7268302727827,15824.87770171295,15824.134765374352,197.8109712714119,197.8016845671794,0.244140625,0.0001220703125,0.3714899550619964
13,1,13,False,1120816.7774230305,1120797.7363199168,1120816.7774230305,2215849.354605842,1095032.5771828115,0.0,54.75260898513352,0.0,54.752552843459,15824.87770171295,15824.506248553495,197.8109712714119,197.80632810691867,0.1220703125,6.103515625e-05,0.1857449775309982
14,1,14,False,1120816.7774230305,1120808.5921639313,1120816.7774230305,2216117.7336871065,1095300.956264076,0.0,54.765484935674976,0.0,54.76542921664254,15824.87770171295,15824.691978365357,197.8109712714119,197.80864972956698,0.06103515625,3.0517578125e-05,0.0928724887654991
15,1,15,False,1120816.7774230305,1120814.0375597002,1120816.7774230305,2216251.7866850495,1095435.009262019,0.0,54.77191526287152,0.0,54.77185964966343,15824.87770171295,15824.784850941778,197.8109712714119,197.80981063677223,0.030517578125,1.52587890625e-05,0.04643624438274955
16,1,16,False,1120816.7774230305,1120816.7522770718,1120816.7774230305,2216314.3067375813,1095497.5293145508,0.0,54.774905516595936,0.0,54.774849929455044,15824.87770171295,15824.831327940128,197.8109712714119,197.8103915992516,0.0152587890625,7.62939453125e-06,0.023218122191374774
17,1,17,False,1120816.7774230305,1120818.0932398702,1120816.7774230305,2216352.797523908,1095536.0201008774,0.0,54.77676300415169,0.0,54.77670742425208,15824.87770171295,15824.854512651955,197.8109712714119,197.81068140814943,0.00762939453125,3.814697265625e-06,0.011609061095687387
18,1,18,False,1120816.7774230305,1120818.7650154522,1120816.7774230305,2216371.8704006313,1095555.0929776009,0.0,54.77768305832615,0.0,54.77762748019178,15824.87770171295,15824.86612962768,197.8109712714119,197.810826620346,0.003814697265625,1.9073486328125e-06,0.005804530547843694
19,1,19,False,1120816.7774230305,1120819.0968302123,1120816.7774230305,2216383.45773134,1095566.6803083096,0.0,54.7782458338952,0.0,54.77819025621759,15824.87770171295,15824.87191987935,197.8109712714119,197.81089899849187,0.0019073486328125,9.5367431640625e-07,0.002902265273921847
20,1,20,False,1120816.7774230305,1120819.2684312705,1120816.7774230305,2216387.1212179936,1095570.343794963,0.0,54.778420428139725,0.0,54.7783648505326,15824.87770171295,15824.874829969984,197.8109712714119,197.8109353746248,0.00095367431640625,4.76837158203125e-07,0.0014511326369609234
